Mouse,Time,DPM,Timepoint,Include
1A,1,17134,1,TRUE
1B,1,13724,1,TRUE
1C,1,20065,1,TRUE
1D,1,19037,1,TRUE
1E,1,15596,1,TRUE
1F,1,17244,1,TRUE
1G,1,20309,1,TRUE
1H,1,17451,1,TRUE
1I,1,20735,1,TRUE
1J,1,18880,1,TRUE
1A,5,13317,5,TRUE
1B,5,11162,5,TRUE
1C,5,13567,5,TRUE
1D,5,10091,5,TRUE
1E,5,9840,5,TRUE
1F,5,13746,5,TRUE
1G,5,11475,5,TRUE
1H,5,10815,5,TRUE
1I,5,13431,5,TRUE
1J,5,9755,5,TRUE
1A,7.5,11544,7.5,TRUE
1B,7.5,9317,7.5,TRUE
1C,7.5,10666,7.5,TRUE
1D,7.5,8466,7.5,TRUE
1E,7.5,8465,7.5,TRUE
1F,7.5,11869,7.5,TRUE
1G,7.5,9385,7.5,TRUE
1H,7.5,9276,7.5,TRUE
1I,7.5,12588,7.5,TRUE
1J,7.5,7611,7.5,TRUE
1A,10,9893,10,TRUE
1B,10,6656,10,TRUE
1C,10,8124,10,TRUE
1D,10,5815,10,TRUE
1E,10,6409,10,TRUE
1F,10,10833,10,TRUE
1G,10,6867,10,TRUE
1H,10,6729,10,TRUE
1I,10,10538,10,TRUE
1J,10,5882,10,TRUE
2A,1,9332,1,TRUE
2A,5,6948,5,TRUE
2A,7.5,6821,7.5,TRUE
2A,10,6602,10,TRUE
2B,1,8514,1,TRUE
2B,5,8772,5,TRUE
2B,7.5,6395,7.5,TRUE
2B,10,6047,10,TRUE
2C,1,5945,1,TRUE
2C,5,5866,5,TRUE
2C,7.5,6867,7.5,TRUE
2C,10,6488,10,TRUE
2D,1,6790,1,TRUE
2D,5,4234,5,TRUE
2D,7.5,4790,7.5,TRUE
2D,10,3357,10,TRUE
2E,1,8050,1,TRUE
2E,5,6493,5,TRUE
2E,7.5,4432,7.5,TRUE
2E,10,3822,10,TRUE
2F,1,8484,1,TRUE
2F,5,7822,5,TRUE
2F,7.5,8474,7.5,TRUE
2F,10,7711,10,TRUE
2G,1,9964,1.5,TRUE
2G,5,6569,5,TRUE
2G,7.5,7677,7.5,TRUE
2G,10,6123,10,TRUE
2H,1,10030.1646,1,TRUE
2H,5,9249.89147,5,TRUE
2H,7.5,8416.757425,7.5,TRUE
2H,10,8232.89336,10,TRUE
2I,1,13329.37541,1,TRUE
2I,5,9664.734767,5,TRUE
2I,7.5,7588.219982,7.5,TRUE
2I,10,6339.09349,10,TRUE
2J,1,11102.32193,2,TRUE
2J,5,10335.8386,5,TRUE
2J,7.5,8955.708966,7.5,TRUE
2J,10,8225.998458,10,TRUE
3A,1,13957.96069,1,TRUE
3A,5,8235.191661,5,TRUE
3A,7.5,6501.123697,7.5,TRUE
3A,10,5500.213693,10,TRUE
3B,1,11728.6089,1,TRUE
3B,5,9445.247039,5,TRUE
3B,7.5,7984.676872,7.5,TRUE
3B,10,7445.725332,10,TRUE
3C,1,10223.22186,1,TRUE
3C,5,7774.382348,5,TRUE
3C,7.5,6399.998461,7.5,TRUE
3C,10,6009.287323,10,TRUE
3D,1,12129.66239,1,TRUE
3D,5,9371.701413,5,TRUE
3D,7.5,7431.935527,7.5,TRUE
3D,10,7492.840498,10,TRUE
3E,1,11682.64288,1,TRUE
3E,5,8559.252076,5,TRUE
3E,7.5,7241.176559,7.5,TRUE
3E,10,6023.077128,10,TRUE
3F,1,10440.41129,1,TRUE
3F,5,7790.470454,5,TRUE
3F,7.5,6876.89588,7.5,TRUE
3F,10,6644.767498,10,TRUE
3G,1,7961.693864,1,TRUE
3G,5,5803.5894,5,TRUE
3G,7.5,4476.320681,7.5,TRUE
3G,10,3675.362847,10,TRUE
3H,1,12044.62526,1,TRUE
3H,5,8978.691974,5,TRUE
3H,7.5,7691.643519,7.5,TRUE
3H,10,6865.404376,10,TRUE
3I,1,4848,1,TRUE
3I,5,7100,5,TRUE
3I,7.5,6139,7.5,TRUE
3I,10,5697,10,TRUE
3J,1,7950,1,TRUE
3J,5,8202,5,TRUE
3J,7.5,7592,7.5,TRUE
3J,10,7120,10,TRUE
4A,1,13535,1,TRUE
4A,5,10190,5,TRUE
4A,7.5,8953,7.5,TRUE
4A,10,8050,10,TRUE
4B,1,10065,1,TRUE
4B,5,6513,5,TRUE
4B,7.5,6099,7.5,TRUE
4B,10,4943,10,TRUE
4C,1,13283,1,TRUE
4C,5,11456,5,TRUE
4C,7.5,8748,7.5,TRUE
4C,10,7702,10,TRUE
4D,1,12525,1,TRUE
4D,5,9261,5,TRUE
4D,7.5,7628,7.5,TRUE
4D,10,7954,10,TRUE
4E,1,21826,1,TRUE
4E,5,14791,5,TRUE
4E,7.5,12292,7.5,TRUE
4E,10,12033,10,TRUE
4F,1,13881,1,TRUE
4F,5,12687,5,TRUE
4F,7.5,10471,7.5,TRUE
4F,10,6166,10,TRUE
4G,1,17572,1,TRUE
4G,5,12155,5,TRUE
4G,7.5,11522,7.5,TRUE
4G,10,8749,10,TRUE
4H,1,15764,1,TRUE
4H,5,10889,5,TRUE
4H,7.5,9116,7.5,TRUE
4H,10,7397,10,TRUE
4J,1,21542,1,TRUE
4J,5,8953,5,TRUE
4J,7.5,9640,7.5,TRUE
4J,10,6409,10,TRUE
5A,1,19023,1,TRUE
5A,5,12776,5,TRUE
5A,7.5,8119,7.5,TRUE
5A,10,5519,10,TRUE
5B,1,16577,1,TRUE
5B,5,14453,5,TRUE
5B,7.5,10965,7.5,TRUE
5B,10,8971,10,TRUE
5C,1,15113,1,TRUE
5C,5,10774,5,TRUE
5C,7.5,5893,7.5,TRUE
5C,10,5874,10,TRUE
5D,1,10951,1,TRUE
5D,5,9177,5,TRUE
5D,7.5,8160,7.5,TRUE
5D,10,7178,10,TRUE
5E,1,9344,1,TRUE
5E,5,5643,5,TRUE
5E,7.5,6462,7.5,TRUE
5E,10,4572,10,TRUE
5F,1,10414,1,TRUE
5F,5,6417,5,TRUE
5F,7.5,7840,7.5,TRUE
5F,10,6169,10,TRUE
5H,1,11822,1,TRUE
5H,5,10596,5,TRUE
5H,7.5,10327,7.5,TRUE
5H,10,9596,10,TRUE
5I,1,5473,1,TRUE
5I,5,6691,5,TRUE
5I,7.5,5969,7.5,TRUE
5I,10,4208,10,TRUE
5J,1,10982,1,TRUE
5J,5,10279,5,TRUE
5J,7.5,8761,7.5,TRUE
5J,10,8153,10,TRUE
6A,1,13272,1,TRUE
6A,5,7064,5,TRUE
6A,7.5,6794,7.5,TRUE
6A,10,5580,10,TRUE
6B,1,11950,1,TRUE
6B,5,8227,5,TRUE
6B,7.5,6363,7.5,TRUE
6B,10,4777,10,TRUE
6C,1,12138,1,TRUE
6C,5,10009,5,TRUE
6C,7.5,8822,7.5,TRUE
6C,10,7573,10,TRUE
6D,1,9692,1,TRUE
6D,5,8776,5,TRUE
6D,7.5,5751,7.5,TRUE
6D,10,4583,10,TRUE
6E,1,10256,1,TRUE
6E,5,8628,5,TRUE
6E,7.5,8070,7.5,TRUE
6E,10,7189,10,TRUE
6F,1,6941,1,TRUE
6F,5,7494,5,TRUE
6F,7.5,6416,7.5,TRUE
6F,10,5556,10,TRUE
6G,1,9679,1,TRUE
6G,5,7783,5,TRUE
6G,7.5,7303,7.5,TRUE
6G,10,6166,10,TRUE
6H,1,12199,1,TRUE
6H,5,10160,5,TRUE
6H,7.5,8618,7.5,TRUE
6H,10,7744,10,TRUE
6I,1,11080,1,TRUE
6I,5,7652,5,TRUE
6I,7.5,5122,7.5,TRUE
6I,10,4719,10,TRUE
6J,1,11615,1,TRUE
6J,5,9884,5,TRUE
6J,7.5,8828,7.5,TRUE
6J,10,8333,10,TRUE
7A,1,9575,1,TRUE
7A,5,6702,5,TRUE
7A,7.5,4999,7.5,TRUE
7A,10,4208,10,TRUE
7B,1,11658,1,TRUE
7B,5,7846,5,TRUE
7B,7.5,6714,7.5,TRUE
7B,10,6132,10,TRUE
7C,1,9532,1,TRUE
7C,5,6857,5,TRUE
7C,7.5,5522,7.5,TRUE
7C,10,4151,10,TRUE
7D,1,10385,1,TRUE
7D,5,8879,5,TRUE
7D,7.5,7269,7.5,TRUE
7D,10,6070,10,TRUE
7E,1,11468,1,TRUE
7E,5,8078,5,TRUE
7E,7.5,7422,7.5,TRUE
7E,10,6202,10,TRUE
7F,1,8457,1,TRUE
7F,5,5369,5,TRUE
7F,7.5,4622,7.5,TRUE
7F,10,4193,10,TRUE
7G,1,9534,1,TRUE
7G,5,7435,5,TRUE
7G,7.5,7588,7.5,TRUE
7G,10,6755,10,TRUE
7H,1,8876,1,TRUE
7H,5,6366,5,TRUE
7H,7.5,4795,7.5,TRUE
7H,10,2944,10,TRUE
7I,1,2670,1,TRUE
7I,5,5389,5,TRUE
7I,7.5,4449,7.5,TRUE
7I,10,5327,10,TRUE
7J,1,4939,1,TRUE
7J,5,6484,5,TRUE
7J,7.5,4574,7.5,TRUE
7J,10,4194,10,TRUE
8A,1,10695,1,TRUE
8A,5,8426,5,TRUE
8A,7.5,7916,7.5,TRUE
8A,10,6737,10,TRUE
8B,1,10383,1,TRUE
8B,5,7004,5,TRUE
8B,7.5,5974,7.5,TRUE
8B,10,4190,10,TRUE
8C,1,8207,1,TRUE
8C,5,7815,5,TRUE
8C,7.5,7118,7.5,TRUE
8C,10,6712,10,TRUE
8D,1,8512,1,TRUE
8D,5,5748,5,TRUE
8D,7.5,5712,7.5,TRUE
8D,10,4757,10,TRUE
8E,1,6229,1,TRUE
8E,5,5908,5,TRUE
8E,7.5,4845,7.5,TRUE
8E,10,4030,10,TRUE
8F,1,3817,1.33,TRUE
8F,5,5184,5,TRUE
8F,7.5,4692,7.5,TRUE
8F,10,3295,10,TRUE
8G,1,2563,1,TRUE
8G,5,2891,5,TRUE
8G,7.5,2789,7.5,TRUE
8G,10,2634,10,TRUE
8H,1,9680,1,TRUE
8H,5,6451,5,TRUE
8H,7.5,5283,7.5,TRUE
8H,10,3567,10,TRUE
8I,1,9047,1,TRUE
8I,5,7192,5,TRUE
8I,7.5,6189,7.5,TRUE
8I,10,5188,10,TRUE
8J,1,7739,1,TRUE
8J,5,5507,5,TRUE
8J,7.5,3900,7.5,TRUE
8J,10,2330,10,TRUE
9A,1,11798,1,TRUE
9A,5,7149,5,TRUE
9A,7.5,6056,7.5,TRUE
9A,10,5735,10,TRUE
9B,1,7037,1,TRUE
9B,5,6207,5,TRUE
9B,7.5,4156,7.5,TRUE
9B,10,4555,10,TRUE
9C,1,11563,1,TRUE
9C,5,7767,5,TRUE
9C,7.5,7906,7.5,TRUE
9C,10,7289,10,TRUE
9D,1,2469,1,TRUE
9D,5,5736,5,TRUE
9D,7.5,5806,7.5,TRUE
9D,10,4459,10,TRUE
9E,1,4690,1,TRUE
9E,5,5899,5,TRUE
9E,7.5,4872,7.5,TRUE
9E,10,3388,10,TRUE
9F,1,6360,1,TRUE
9F,5,7685,5,TRUE
9F,7.5,4888,7.5,TRUE
9F,10,5735,10,TRUE
9G,1,5176,1,TRUE
9G,5,5273,5,TRUE
9G,7.5,4558,7.5,TRUE
9G,10,3813,10,TRUE
9H,1,4974,1,TRUE
9H,5,5262,5,TRUE
9H,7.5,4929,7.5,TRUE
9H,10,4657,10,TRUE
9I,1,8425,1,TRUE
9I,5,5961,5,TRUE
9I,7.5,4724,7.5,TRUE
9I,10,4028,10,TRUE
9J,1,9503,1,TRUE
9J,5,8597,5,TRUE
9J,7.5,7917,7.5,TRUE
9J,10,7318,10,TRUE
10A,1,4763,1,TRUE
10A,5,5531,5,TRUE
10A,7.5,4418,7.5,TRUE
10A,10,4280,10,TRUE
10B,1,4406,1,TRUE
10B,5,5013,5,TRUE
10B,7.5,4644,7.5,TRUE
10B,10,3759,10,TRUE
10C,1,8429,1,TRUE
10C,5,6218,5,TRUE
10C,7.5,6388,7.5,TRUE
10C,10,5779,10,TRUE
10D,1,7268,1,TRUE
10D,5,8172,5,TRUE
10D,7.5,5550,7.5,TRUE
10D,10,4232,10,TRUE
10E,1,7596,1,TRUE
10E,5,8231,5,TRUE
10E,7.5,7614,7.5,TRUE
10E,10,6359,10,TRUE
10F,1,10085,1,TRUE
10F,5,6182,5,TRUE
10F,7.5,5411,7.5,TRUE
10F,10,3738,10,TRUE
